title,director,plot,box_office,imdbrating,released
"Communion (a.k.a. Alice, Sweet Alice/Holy Terror) (1977)",,,,,
Don't Look in the Basement! (1973),,,,,
Nightmares (1983),,,,,
I Saw What You Did (1965),,,,,
Yellow Submarine (1968),,,,,
American Beauty (1999),,,,,
Stop Making Sense (1984),,,,,
Blue Streak (1999),,,,,
For Love of the Game (1999),,,,,
Caligula (1980),,,,,
"Hard Day's Night, A (1964)",,,,,
Splendor (1999),,,,,
Sugar Town (1999),,,,,
"Buddy Holly Story, The (1978)",,,,,
Fright Night (1985),,,,,
Fright Night Part II (1989),,,,,
"Separation, The (La Séparation) (1994)",,,,,
Barefoot in the Park (1967),,,,,
Deliverance (1972),,,,,
Excalibur (1981),,,,,
Lulu on the Bridge (1998),,,,,
"Pajama Game, The (1957)",,,,,
Sommersby (1993),,,,,
Thumbelina (1994),,,,,
Tommy (1975),,,,,
Hell Night (1981),,,,,
Operation Condor (Feiying gaiwak) (1990),,,,,
Operation Condor 2 (Longxiong hudi) (1990),,,,,
Double Jeopardy (1999),,,,,
Jakob the Liar (1999),,,,,
Mumford (1999),,,,,
Dog Park (1998),,,,,
Guinevere (1999),,,,,
"Adventures of Elmo in Grouchland, The (1999)",,,,,
Simon Sez (1999),,,,,
Drive Me Crazy (1999),,,,,
"Mystery, Alaska (1999)",,,,,
Three Kings (1999),,,,,
"Happy, Texas (1999)",,,,,
New Rose Hotel (1998),,,,,
Plunkett & MaCleane (1999),,,,,
Romance (1999),,,,,
Napoleon and Samantha (1972),,,,,
Alvarez Kelly (1966),,,,,
And the Ship Sails On (E la nave va) (1984),,,,,
"Dark Half, The (1993)",,,,,
Gulliver's Travels (1939),,,,,
Monkey Shines (1988),,,,,
Phantasm (1979),,,,,
Psycho II (1983),,,,,
Psycho III (1986),,,,,
Rain (1932),,,,,
Sanjuro (1962),,,,,
Random Hearts (1999),,,,,
Superstar (1999),,,,,
Boys Don't Cry (1999),,,,,
"Five Wives, Three Secretaries and Me (1998)",,,,,
"Ennui, L' (1998)",,,,,
"Grandfather, The (El Abuelo) (1998)",,,,,
"Limey, The (1999)",,,,,
"Mating Habits of the Earthbound Human, The (1998)",,,,,
Molly (1999),,,,,
Risky Business (1983),,,,,
Total Recall (1990),,,,,
Body Heat (1981),,,,,
Ferris Bueller's Day Off (1986),,,,,
Year of Living Dangerously (1982),,,,,
Children of Paradise (Les enfants du paradis) (1945),,,,,
High Plains Drifter (1972),,,,,
Hang 'em High (1967),,,,,
Citizen's Band (a.k.a. Handle with Care) (1977),,,,,
Drunken Master (Zui quan) (1979),,,,,
"Conformist, The (Il Conformista) (1970)",,,,,
Hairspray (1988),,,,,
Brief Encounter (1946),,,,,
"Razor's Edge, The (1984)",,,,,
Reds (1981),,,,,
Return with Honor (1998),,,,,
Time of the Gypsies (Dom za vesanje) (1989),,,,,
Days of Heaven (1978),,,,,
"Fire Within, The (Le Feu Follet) (1963)",,,,,
"Love Bewitched, A (El Amor Brujo) (1986)",,,,,
"Lady Eve, The (1941)",,,,,
Sullivan's Travels (1942),,,,,
"Palm Beach Story, The (1942)",,,,,
Man Facing Southeast (Hombre Mirando al Sudeste) (1986),,,,,
Niagara (1953),,,,,
Gilda (1946),,,,,
South Pacific (1958),,,,,
Flashdance (1983),,,,,
Indochine (1992),,,,,
"Dirty Dozen, The (1967)",,,,,
Mike's Murder (1984),,,,,
Help! (1965),,,,,
Goldfinger (1964),,,,,
From Russia with Love (1963),,,,,
Dr. No (1962),,,,,
"Blue Lagoon, The (1980)",,,,,
"Fistful of Dollars, A (1964)",,,,,
"Hard 8 (a.k.a. Sydney, a.k.a. Hard Eight) (1996)",,,,,
Home Alone 2: Lost in New York (1992),,,,,
Penitentiary (1979),,,,,
Penitentiary II (1982),,,,,
Someone to Watch Over Me (1987),,,,,
Sparrows (1926),,,,,
Naturally Native (1998),,,,,
Fight Club (1999),,,,,
Beefcake (1999),,,,,
"Story of Us, The (1999)",,,,,
Fever Pitch (1997),,,,,
Joe the King (1999),,,,,
Julien Donkey-Boy (1999),,,,,
"Omega Code, The (1999)",,,,,
"Straight Story, The (1999)",,,,,
"Bad Seed, The (1956)",,,,,
Time Bandits (1981),,,,,
"Man and a Woman, A (Un Homme et une Femme) (1966)",,,,,
Fitzcarraldo (1982),,,,,
All That Jazz (1979),,,,,
Red Sorghum (Hong Gao Liang) (1987),,,,,
Crimes and Misdemeanors (1989),,,,,
Bats (1999),,,,,
"Best Man, The (1999)",,,,,
Bringing Out the Dead (1999),,,,,
Crazy in Alabama (1999),,,,,
Three to Tango (1999),,,,,
Body Shots (1999),,,,,
Men Cry Bullets (1997),,,,,
"Brother, Can You Spare a Dime? (1975)",,,,,
"Guardian, The (1990)",,,,,
"Ipcress File, The (1965)",,,,,
On Any Sunday (1971),,,,,
Robocop (1987),,,,,
Robocop 2 (1990),,,,,
Who Framed Roger Rabbit? (1988),,,,,
Melvin and Howard (1980),,,,,
For Your Eyes Only (1981),,,,,
Licence to Kill (1989),,,,,
Live and Let Die (1973),,,,,
Rawhead Rex (1986),,,,,
Thunderball (1965),,,,,
"City, The (1998)",,,,,
"House on Haunted Hill, The (1999)",,,,,
Music of the Heart (1999),,,,,
Being John Malkovich (1999),,,,,
Dreaming of Joseph Lees (1998),,,,,
Man of the Century (1999),,,,,
"Princess Mononoke, The (Mononoke Hime) (1997)",,,,,
"Suburbans, The (1999)",,,,,
My Best Fiend (Mein liebster Feind) (1999),,,,,
Train of Life (Train De Vie) (1998),,,,,
"Bachelor, The (1999)",,,,,
"Bone Collector, The (1999)",,,,,
"Insider, The (1999)",,,,,
American Movie (1999),,,,,
Last Night (1998),,,,,
Portraits Chinois (1996),,,,,
Rosetta (1999),,,,,
"They Shoot Horses, Don't They? (1969)",,,,,
Battling Butler (1926),,,,,
Bride of Re-Animator (1990),,,,,
Bustin' Loose (1981),,,,,
Coma (1978),,,,,
Creepshow (1982),,,,,
Creepshow 2 (1987),,,,,
Re-Animator (1985),,,,,
Drugstore Cowboy (1989),,,,,
Falling Down (1993),,,,,
"Funhouse, The (1981)",,,,,
"General, The (1927)",,,,,
My Best Girl (1927),,,,,
Piranha (1978),,,,,
Rough Night in Jericho (1967),,,,,
Slaughterhouse (1987),,,,,
Slaughterhouse 2 (1988),,,,,
"Taming of the Shrew, The (1967)",,,,,
Nighthawks (1981),,,,,
Yojimbo (1961),,,,,
Repossessed (1990),,,,,
"Omega Man, The (1971)",,,,,
Spaceballs (1987),,,,,
Robin Hood (1973),,,,,
Mister Roberts (1955),,,,,
Quest for Fire (1981),,,,,
Little Big Man (1970),,,,,
"Face in the Crowd, A (1957)",,,,,
Trading Places (1983),,,,,
Meatballs (1979),,,,,
Meatballs Part II (1984),,,,,
Meatballs III (1987),,,,,
Meatballs 4 (1992),,,,,
Dead Again (1991),,,,,
Peter's Friends (1992),,,,,
"Incredibly True Adventure of Two Girls in Love, The (1995)",,,,,
Experience Preferred... But Not Essential (1982),,,,,
Under the Rainbow (1981),,,,,
How I Won the War (1967),,,,,
Light It Up (1999),,,,,
Anywhere But Here (1999),,,,,
Dogma (1999),,,,,
"Messenger: The Story of Joan of Arc, The (1999)",,,,,
Pokémon: The First Movie (1998),,,,,
Felicia's Journey (1999),,,,,
Oxygen (1999),,,,,
Where's Marlowe? (1999),,,,,
"Ape, The (1940)",,,,,
British Intelligence (1940),,,,,
"Commitments, The (1991)",,,,,
Holiday Inn (1942),,,,,
"Longest Day, The (1962)",,,,,
Poison Ivy (1992),,,,,
Poison Ivy: New Seduction (1997),,,,,
Ten Benny (1997),,,,,
Tora! Tora! Tora! (1970),,,,,
Women on the Verge of a Nervous Breakdown (1988),,,,,
"Verdict, The (1982)",,,,,
"Effect of Gamma Rays on Man-in-the-Moon Marigolds, The (1972)",,,,,
"Adventures of Buckaroo Bonzai Across the 8th Dimension, The (1984)",,,,,
Stand and Deliver (1987),,,,,
Moonstruck (1987),,,,,
"Sandpiper, The (1965)",,,,,
Jeremiah Johnson (1972),,,,,
Repulsion (1965),,,,,
Irma la Douce (1963),,,,,
42 Up (1998),,,,,
Liberty Heights (1999),,,,,
Mansfield Park (1999),,,,,
"Goodbye, 20th Century (Zbogum na dvadesetiot vek) (1998)",,,,,
Sleepy Hollow (1999),,,,,
"World Is Not Enough, The (1999)",,,,,
All About My Mother (Todo Sobre Mi Madre) (1999),,,,,
Home Page (1999),,,,,
"Living Dead Girl, The (La Morte Vivante) (1982)",,,,,
March of the Wooden Soldiers (a.k.a. Laurel & Hardy in Toyland) (1934),,,,,
Scrooged (1988),,,,,
Harvey (1950),,,,,
"Bicycle Thief, The (Ladri di biciclette) (1948)",,,,,
Matewan (1987),,,,,
Kagemusha (1980),,,,,
Chushingura (1962),,,,,
McCabe & Mrs. Miller (1971),,,,,
Maurice (1987),,,,,
"Grapes of Wrath, The (1940)",,,,,
My Man Godfrey (1957),,,,,
"Shop Around the Corner, The (1940)",,,,,
"Natural, The (1984)",,,,,
Shampoo (1975),,,,,
"River Runs Through It, A (1992)",,,,,
Fatal Attraction (1987),,,,,
Jagged Edge (1985),,,,,
Stanley & Iris (1990),,,,,
Midnight Run (1988),,,,,
Awakenings (1990),,,,,
Come See the Paradise (1990),,,,,
Backdraft (1991),,,,,
"Fisher King, The (1991)",,,,,
"River, The (1984)",,,,,
Country (1984),,,,,
Places in the Heart (1984),,,,,
'Night Mother (1986),,,,,
End of Days (1999),,,,,
Toy Story 2 (1999),,,,,
Flawless (1999),,,,,
Miss Julie (1999),,,,,
Ride with the Devil (1999),,,,,
Tumbleweeds (1999),,,,,
Bay of Blood (Reazione a catena) (1971),,,,,
"Distinguished Gentleman, The (1992)",,,,,
"Hitch-Hiker, The (1953)",,,,,
Santa Fe Trail (1940),,,,,
Spring Fever USA (a.k.a. Lauderdale) (1989),,,,,
Agnes Browne (1999),,,,,
"End of the Affair, The (1999)",,,,,
"End of the Affair, The (1955)",,,,,
Holy Smoke (1999),,,,,
"Map of the World, A (1999)",,,,,
Sweet and Lowdown (1999),,,,,
Bonfire of the Vanities (1990),,,,,
Broadway Damage (1997),,,,,
Daddy Long Legs (1919),,,,,
Go West (1925),,,,,
"Grand Illusion (Grande illusion, La) (1937)",,,,,
"Great Santini, The (1979)",,,,,
"James Dean Story, The (1957)",,,,,
"Sea Wolves, The (1980)",,,,,
Stealing Home (1988),,,,,
Tarzan the Fearless (1933),,,,,
"Three Ages, The (1923)",,,,,
"Two Jakes, The (1990)",,,,,
U2: Rattle and Hum (1988),,,,,
Hell in the Pacific (1968),,,,,
"Glass Bottom Boat, The (1966)",,,,,
"Cradle Will Rock, The (1999)",,,,,
Deuce Bigalow: Male Gigolo (1999),,,,,
"Green Mile, The (1999)",,,,,
"Cider House Rules, The (1999)",,,,,
Diamonds (1999),,,,,
"War Zone, The (1999)",,,,,
"Bat Whispers, The (1930)",,,,,
"Last Picture Show, The (1971)",,,,,
"7th Voyage of Sinbad, The (1958)",,,,,
Blood on the Sun (1945),,,,,
Anna and the King (1999),,,,,
Bicentennial Man (1999),,,,,
Stuart Little (1999),,,,,
"Emperor and the Assassin, The (Jing ke ci qin wang) (1999)",,,,,
Fantasia 2000 (1999),,,,,
Magnolia (1999),,,,,
Onegin (1999),,,,,
Simpatico (1999),,,,,
Topsy-Turvy (1999),,,,,
"Alley Cats, The (1968)",,,,,
Boiling Point (1993),,,,,
Brenda Starr (1989),,,,,
Carnal Knowledge (1971),,,,,
Easy Rider (1969),,,,,
"Falcon and the Snowman, The (1984)",,,,,
Hi-Yo Silver (1940),,,,,
Room at the Top (1959),,,,,
Ulysses (Ulisse) (1954),,,,,
Any Given Sunday (1999),,,,,
Man on the Moon (1999),,,,,
Galaxy Quest (1999),,,,,
"Talented Mr. Ripley, The (1999)",,,,,
Next Friday (1999),,,,,
"Hurricane, The (1999)",,,,,
Angela's Ashes (1999),,,,,
Play it to the Bone (1999),,,,,
Titus (1999),,,,,
Mr. Death: The Rise and Fall of Fred A. Leuchter Jr. (1999),,,,,
"Third Miracle, The (1999)",,,,,
Montana (1998),,,,,
Snow Falling on Cedars (1999),,,,,
"Girl, Interrupted (1999)",,,,,
Trans (1998),,,,,
"Life and Times of Hank Greenberg, The (1998)",,,,,
My Dog Skip (1999),,,,,
Supernova (2000),,,,,
"Quarry, The (1998)",,,,,
"Terrorist, The (Malli) (1998)",,,,,
Creature (1999),,,,,
"Way We Were, The (1973)",,,,,
Tess of the Storm Country (1922),,,,,
Stalag 17 (1953),,,,,
"Presidio, The (1988)",,,,,
Papillon (1973),,,,,
Pal Joey (1957),,,,,
"Last Detail, The (1973)",,,,,
Five Easy Pieces (1970),,,,,
Even Dwarfs Started Small (Auch Zwerge haben klein angefangen) (1971),,,,,
Dead Calm (1989),,,,,
"Boys from Brazil, The (1978)",,,,,
Black Sunday (La Maschera Del Demonio) (1960),,,,,
Against All Odds (1984),,,,,
"Snows of Kilimanjaro, The (1952)",,,,,
Loaded Weapon 1 (1993),,,,,
"Loves of Carmen, The (1948)",,,,,
Fast Times at Ridgemont High (1982),,,,,
"Cry in the Dark, A (1988)",,,,,
Born to Win (1971),,,,,
Batman: Mask of the Phantasm (1993),,,,,
American Flyers (1985),,,,,
Voyage of the Damned (1976),,,,,
Vampyros Lesbos (Las Vampiras) (1970),,,,,
"Star Is Born, A (1937)",,,,,
Poison (1991),,,,,
Pacific Heights (1990),,,,,
Night Tide (1961),,,,,
"Draughtsman's Contract, The (1982)",,,,,
Carmen (1984),,,,,
"Zed & Two Noughts, A (1985)",,,,,
Woman in the Dunes (Suna no onna) (1964),,,,,
Down to You (2000),,,,,
Hellhounds on My Trail (1999),,,,,
"Not Love, Just Frenzy (Más que amor, frenesí) (1996)",,,,,
Wirey Spindell (1999),,,,,
Another Man's Poison (1952),,,,,
"Odessa File, The (1974)",,,,,
"Saphead, The (1920)",,,,,
Seven Chances (1925),,,,,
Smashing Time (1967),,,,,
Train Ride to Hollywood (1978),,,,,
Where the Buffalo Roam (1980),,,,,
Zachariah (1971),,,,,
Kestrel's Eye (Falkens öga) (1998),,,,,
Eye of the Beholder (1999),,,,,
Isn't She Great? (2000),,,,,
"Big Tease, The (1999)",,,,,
"Cup, The (Phörpa) (1999)",,,,,
Santitos (1997),,,,,
Encino Man (1992),,,,,
"Goodbye Girl, The (1977)",,,,,
I Am Cuba (Soy Cuba/Ya Kuba) (1964),,,,,
Malcolm X (1992),,,,,
Sister Act (1992),,,,,
Sister Act 2: Back in the Habit (1993),,,,,
"Hand That Rocks the Cradle, The (1992)",,,,,
Alive (1993),,,,,
Agnes of God (1985),,,,,
Scent of a Woman (1992),,,,,
Wayne's World (1992),,,,,
Wayne's World 2 (1993),,,,,
"League of Their Own, A (1992)",,,,,
Patriot Games (1992),,,,,
"Bodyguard, The (1992)",,,,,
Death Becomes Her (1992),,,,,
Far and Away (1992),,,,,
Howards End (1992),,,,,
Singles (1992),,,,,
Twin Peaks: Fire Walk with Me (1992),,,,,
White Men Can't Jump (1992),,,,,
Buffy the Vampire Slayer (1992),,,,,
Hard-Boiled (Lashou shentan) (1992),,,,,
Man Bites Dog (C'est arrivé près de chez vous) (1992),,,,,
"Mariachi, El (1992)",,,,,
Stop! Or My Mom Will Shoot (1992),,,,,
Forever Young (1992),,,,,
"Cutting Edge, The (1992)",,,,,
Of Mice and Men (1992),,,,,
Bad Lieutenant (1992),,,,,
Scream 3 (2000),,,,,
Single White Female (1992),,,,,
"Boondock Saints, The (1999)",,,,,
Gun Shy (2000),,,,,
Beloved/Friend (Amigo/Amado) (1999),,,,,
Gendernauts (1999),,,,,
Knockout (1999),,,,,
"Baby, The (1973)",,,,,
"Brandon Teena Story, The (1998)",,,,,
Different for Girls (1996),,,,,
Minnie and Moskowitz (1971),,,,,
They Might Be Giants (1971),,,,,
"Beach, The (2000)",,,,,
Snow Day (2000),,,,,
"Tigger Movie, The (2000)",,,,,
Cotton Mary (1999),,,,,
Not One Less (Yi ge dou bu neng shao) (1999),,,,,
Soft Toilet Seats (1999),,,,,
Trois (2000),,,,,
"Big Combo, The (1955)",,,,,
Conceiving Ada (1997),,,,,
Eaten Alive (1976),,,,,
Raining Stones (1993),,,,,
To Sir with Love (1967),,,,,
With Byrd at the South Pole (1930),,,,,
Boiler Room (2000),,,,,
Hanging Up (2000),,,,,
Pitch Black (2000),,,,,
"Whole Nine Yards, The (2000)",,,,,
Beautiful People (1999),,,,,
Black Tar Heroin: The Dark End of the Street (1999),,,,,
Blue Collar (1978),,,,,
Bluebeard (1944),,,,,
"Circus, The (1928)",,,,,
City Lights (1931),,,,,
"Flamingo Kid, The (1984)",,,,,
"Dog's Life, A (1920)",,,,,
"Kid, The (1921)",,,,,
"Man from Laramie, The (1955)",,,,,
"McCullochs, The (1975)",,,,,
Class Reunion (1982),,,,,
"Big Trees, The (1952)",,,,,
Happy Go Lovely (1951),,,,,
Reindeer Games (2000),,,,,
Wonder Boys (2000),,,,,
Deterrence (1998),,,,,
Judy Berlin (1999),,,,,
Mifune (Mifunes sidste sang) (1999),,,,,
"Waiting Game, The (2000)",,,,,
3 Strikes (2000),,,,,
Chain of Fools (2000),,,,,
Drowning Mona (2000),,,,,
"Next Best Thing, The (2000)",,,,,
What Planet Are You From? (2000),,,,,
Beyond the Mat (2000),,,,,
Ghost Dog: The Way of the Samurai (1999),,,,,
"Year My Voice Broke, The (1987)",,,,,
Splendor in the Grass (1961),,,,,
My Tutor (1983),,,,,
"Legend of Lobo, The (1962)",,,,,
"Killing of Sister George, The (1968)",,,,,
Key Largo (1948),,,,,
Jail Bait (1954),,,,,
It Happened Here (1961),,,,,
I'll Never Forget What's 'is Name (1967),,,,,
For All Mankind (1989),,,,,
Cross of Iron (1977),,,,,
Bride of the Monster (1956),,,,,
Born Yesterday (1950),,,,,
Birdy (1984),,,,,
And God Created Woman (1988),,,,,
Blood Feast (1963),,,,,
"Charlie, the Lonesome Cougar (1967)",,,,,
Color Me Blood Red (1965),,,,,
Never Cry Wolf (1983),,,,,
"Night Visitor, The (1970)",,,,,
"Perils of Pauline, The (1947)",,,,,
"Raisin in the Sun, A (1961)",,,,,
Two Thousand Maniacs! (1964),,,,,
Brown's Requiem (1998),,,,,
"Closer You Get, The (2000)",,,,,
Mission to Mars (2000),,,,,
"Ninth Gate, The (2000)",,,,,
Condo Painting (2000),,,,,
East-West (Est-ouest) (1999),,,,,
Defending Your Life (1991),,,,,
Breaking Away (1979),,,,,
Hoosiers (1986),,,,,
Bull Durham (1988),,,,,
Dog Day Afternoon (1975),,,,,
American Graffiti (1973),,,,,
"Asphalt Jungle, The (1950)",,,,,
"Searchers, The (1956)",,,,,
Where Eagles Dare (1969),,,,,
"Devil's Brigade, The (1968)",,,,,
"Big Country, The (1958)",,,,,
Any Number Can Win (Mélodie en sous-sol ) (1963),,,,,
Betrayed (1988),,,,,
Bound for Glory (1976),,,,,
"Bridge at Remagen, The (1969)",,,,,
Buck and the Preacher (1972),,,,,
Daughters of the Dust (1992),,,,,
Destination Moon (1950),,,,,
"Fantastic Night, The (La Nuit Fantastique) (1949)",,,,,
Hangmen Also Die (1943),,,,,
"Ogre, The (Der Unhold) (1996)",,,,,
On the Beach (1959),,,,,
Railroaded! (1947),,,,,
Slaves to the Underground (1997),,,,,
Song of Freedom (1936),,,,,
Big Fella (1937),,,,,
"Taking of Pelham One Two Three, The (1974)",,,,,
Volunteers (1985),,,,,
JFK (1991),,,,,
Who's Harry Crumb? (1989),,,,,
Harry and the Hendersons (1987),,,,,
Let's Get Harry (1986),,,,,
Shanghai Surprise (1986),,,,,
Who's That Girl? (1987),,,,,
She-Devil (1989),,,,,
Date with an Angel (1987),,,,,
Blind Date (1987),,,,,
Nadine (1987),,,,,
"Muppet Movie, The (1979)",,,,,
"Great Muppet Caper, The (1981)",,,,,
"Muppets Take Manhattan, The (1984)",,,,,
Sesame Street Presents Follow That Bird (1985),,,,,
We're Back! A Dinosaur's Story (1993),,,,,
Baby... Secret of the Lost Legend (1985),,,,,
Turtle Diary (1985),,,,,
Raise the Titanic (1980),,,,,
Titanic (1953),,,,,
"Night to Remember, A (1958)",,,,,
Captain Horatio Hornblower (1951),,,,,
"Carriers Are Waiting, The (Les Convoyeurs Attendent) (1999)",,,,,
Erin Brockovich (2000),,,,,
Final Destination (2000),,,,,
Soft Fruit (1999),,,,,
Babymother (1998),,,,,
"Bear, The (1988)",,,,,
Impact (1949),,,,,
Love Is a Many-Splendored Thing (1955),,,,,
"Mirror, The (Zerkalo) (1975)",,,,,
"Trial, The (Le Procès) (1963)",,,,,
"Crimson Pirate, The (1952)",,,,,
Thelma & Louise (1991),,,,,
Something for Everyone (1970),,,,,
...And Justice for All (1979),,,,,
Animal House (1978),,,,,
She's Gotta Have It (1986),,,,,
School Daze (1988),,,,,
Do the Right Thing (1989),,,,,
Mo' Better Blues (1990),,,,,
Jungle Fever (1991),,,,,
Coogan's Bluff (1968),,,,,
"Champ, The (1979)",,,,,
Creature Comforts (1990),,,,,
Death Wish (1974),,,,,
Death Wish II (1982),,,,,
Death Wish 3 (1985),,,,,
Death Wish 4: The Crackdown (1987),,,,,
Death Wish V: The Face of Death (1994),,,,,
Double Indemnity (1944),,,,,
Dying Young (1991),,,,,
Cool as Ice (1991),,,,,
Teenage Mutant Ninja Turtles (1990),,,,,
Teenage Mutant Ninja Turtles II: The Secret of the Ooze (1991),,,,,
Teenage Mutant Ninja Turtles III (1993),,,,,
Red Dawn (1984),,,,,
Band of the Hand (1986),,,,,
Born American (1986),,,,,
Bloodsport (1988),,,,,
Eyes of Laura Mars (1978),,,,,
Funny Bones (1995),,,,,
"Good Earth, The (1937)",,,,,
"Good Morning, Vietnam (1987)",,,,,
"Good Mother, The (1988)",,,,,
Grumpy Old Men (1993),,,,,
Guess Who's Coming to Dinner (1967),,,,,
Romeo Must Die (2000),,,,,
Here on Earth (2000),,,,,
Whatever It Takes (2000),,,,,
Buddy Boy (1999),,,,,
"Color of Paradise, The (Rang-e Khoda) (1999)",,,,,
Waking the Dead (1999),,,,,
Blood and Sand (Sangre y Arena) (1989),,,,,
Gothic (1986),,,,,
Hillbillys in a Haunted House (1967),,,,,
Lord of the Flies (1963),,,,,
Modern Times (1936),,,,,
Last Resort (1994),,,,,
Solar Crisis (1993),,,,,
That's Life! (1986),,,,,
Heart and Souls (1993),,,,,
Hud (1963),,,,,
"Hustler, The (1961)",,,,,
Inherit the Wind (1960),,,,,
Dersu Uzala (1974),,,,,
Close Encounters of the Third Kind (1977),,,,,
Horror Hotel (a.k.a. The City of the Dead) (1960),,,,,
Jonah Who Will Be 25 in the Year 2000 (1976),,,,,
Retroactive (1997),,,,,
"Place in the Sun, A (1951)",,,,,
Jacob's Ladder (1990),,,,,
Empire Records (1995),,,,,
"Bamba, La (1987)",,,,,
Ladyhawke (1985),,,,,
Lucas (1986),,,,,
High Fidelity (2000),,,,,
Price of Glory (2000),,,,,
"Road to El Dorado, The (2000)",,,,,
"Skulls, The (2000)",,,,,
Autopsy (Macchie Solari) (1975),,,,,
Devil Girl From Mars (1954),,,,,
"Dorado, El (1967)",,,,,
"Hideous Sun Demon, The (1959)",,,,,
Hook (1991),,,,,
Horror Express (1972),,,,,
My Chauffeur (1986),,,,,
"Son of the Sheik, The (1926)",,,,,
Torso (Corpi Presentano Tracce di Violenza Carnale) (1973),,,,,
True Grit (1969),,,,,
Roadside Prophets (1992),,,,,
Madame Sousatzka (1988),,,,,
Max Dugan Returns (1983),,,,,
Midnight Express (1978),,,,,
Misery (1990),,,,,
Mr. Saturday Night (1992),,,,,
Murphy's Romance (1985),,,,,
My Life (1993),,,,,
Solaris (Solyaris) (1972),,,,,
Network (1976),,,,,
No Way Out (1987),,,,,
North Dallas Forty (1979),,,,,
"Odd Couple, The (1968)",,,,,
"Outlaw Josey Wales, The (1976)",,,,,
Black and White (1999),,,,,
Frequency (2000),,,,,
Ready to Rumble (2000),,,,,
Return to Me (2000),,,,,
Rules of Engagement (2000),,,,,
Joe Gould's Secret (2000),,,,,
Me Myself I (2000),,,,,
"Bell, Book and Candle (1958)",,,,,
"Bells, The (1926)",,,,,
"End of Violence, The (1997)",,,,,
Force 10 from Navarone (1978),,,,,
How to Stuff a Wild Bikini (1965),,,,,
Mystery Train (1989),,,,,
Sacco and Vanzetti (Sacco e Vanzetti) (1971),,,,,
Taffin (1988),,,,,
Arthur (1981),,,,,
Bachelor Party (1984),,,,,
Parenthood (1989),,,,,
Predator (1987),,,,,
"Prince of Tides, The (1991)",,,,,
"Postman Always Rings Twice, The (1981)",,,,,
Smoking/No Smoking (1993),,,,,
All the Vermeers in New York (1990),,,,,
Freedom for Us (À nous la liberté ) (1931),,,,,
"Actor's Revenge, An (Yukinojo Henge) (1963)",,,,,
28 Days (2000),,,,,
American Psycho (2000),,,,,
Keeping the Faith (2000),,,,,
Where the Money Is (2000),,,,,
East is East (1999),,,,,
"Filth and the Fury, The (2000)",,,,,
Passion of Mind (1999),,,,,
Third World Cop (1999),,,,,
Coming Apart (1969),,,,,
Diner (1982),,,,,
Shakes the Clown (1991),,,,,
Cabaret (1972),,,,,
